image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x353 at 0x17951AAB910>,is this a contrast ct or a non-contrast ct?,non-contrast ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x17951AAB9A0>,is the vertebral artery/basilar artery located in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x910 at 0x17951AABA30>,does this patient have an endotracheal tube placed?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x857 at 0x17951AABAC0>,which lobe of the brain demonstrates a hyper-intense signal in this t2 weighted mri image?,the left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x910 at 0x17951AABB50>,does this cxr display pneumoperitoneum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x17951AABBE0>,is the appendix seen in this image ruptured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=383x455 at 0x17951AABC70>,can the liver be seen in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951AABD00>,what imaging modality is seen here?,ct with gi and iv contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x17951AABD90>,can you see intraperitoneal bleeding in this ct?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=383x455 at 0x17951AABE20>,what vessel is seen just anterior to the spine enhancing with contrast?,the aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17951AABEB0>,what two large vessels are seen directly anterior to the spinal column?,the aorta and the inferior vena cava
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x17951AABF40>,is the appendix seen in this image inflamed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x17951AABFD0>,is there blurring of the grey-white matter junctions in the right temporal lobe?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x179825C80A0>,does this image display the contents of the abdomen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x910 at 0x179825C8130>,which side of the image is the thoracic mass located on?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x179825C81C0>,was contrast used with this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1008 at 0x179825C8250>,does this image show a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x179825C82E0>,where is the bleed?,subarachnoid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x179825C8370>,what kind of brain bleed is this?,subarachnoid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x179825C8400>,where is the enhancement in left rectus muscles?,medial rectus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x179825C8490>,which rectus muscles are enhanced on the left?,medial rectus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x179825C8520>,how do you tell which side is r vs l?,imagine the patient is laying down and you are looking from the feet
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x179825C85B0>,how can you tell contrast has been give orally?,bowel contents light up on image
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x179825C8640>,is there no definitive border between the grey matter and white matter in the right temporal lobe?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x179825C86D0>,is the saggital plane?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825C8760>,what type of image is this?,chest xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825C87F0>,is there evidence of pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825C8880>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x179825C8910>,what side are the infarcts located?,bilateral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x179825C89A0>,where are the infarcts seen?,bilateral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x179825C8A30>,are the pulmonary arteries enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x179825C8AC0>,do the pulmonary arteries appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x179825C8B50>,is this an mri?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x179825C8BE0>,how would you describe the lesions?,loculated
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x179825C8C70>,is there evidence of portal venous congestion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x179825C8D00>,what is one adjective to describe the lesion(s)?,loculated
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x179825C8D90>,are the lesions in the cerebellum?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x179825C8E20>,what kind of image is this?,chest x ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x179825C8EB0>,what modality is this?,chest x ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825C8F40>,are the findings normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825C8FD0>,is this a normal image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x179825C9060>,where is the enhancement in right rectus muscles?,medial and lateral rectus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x179825C90F0>,which rectus muscles are enhanced on the right?,medial and lateral rectus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x179825C9180>,is this normal gallbladder finding?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x179825C9210>,does the lesion demonstrate ring enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x179825C92A0>,is the portal vein engorged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x179825C9330>,is this lesion ring enhancing?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x179825C93C0>,is there evidence of calcification?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x179825C9450>,is the mass calcified?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x179825C94E0>,what is the location of the mass?,pineal gland
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x179825C9570>,where is the mass located?,pineal gland
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x179825C9600>,do you always recommend using both iv and oral contrast?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x179825C9690>,are the lungs hyperinflated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x179825C9720>,do the lungs appear hyperinflated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x179825C97B0>,the air fluid level is in which location?,cardiac region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x179825C9840>,where is there an air fluid level?,cardiac region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x179825C98D0>,is there evidence of an aortic aneurysm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x179825C9960>,is the plane of section transverse?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x179825C99F0>,do you see dependent layering in the occipital horns of the lateral ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x179825C9A80>,is there dependent layering in the occipital horns of the lateral ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x179825C9B10>,what do the hyperdensities represent?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x179825C9BA0>,what are the hyperdensities indicative of?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x179825C9C30>,what could cause this finding?,congenital developmental disorder? history of surgery and past manipulation?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x179825C9CC0>,what type of image modality is this?,mr flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x179825C9D50>,which image modality is this?,mr flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x179825C9DE0>,how is the image oriented?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x179825C9E70>,what plane is this x-ray in?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x179825C9F00>,are the enhanced muscles also enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x179825C9F90>,is the liver parenchyma normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x179825CA020>,do the enhanced muscles appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x179825CA0B0>,what side of the abdomen is the aorta on?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x179825CA140>,where is the aorta located relative to the midline?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x179825CA1D0>,which side is abnormal?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x179825CA260>,which lung has a defect?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x179825CA2F0>,what area is abnormal?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x179825CA380>,where is/are the abnormality located?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x179825CA410>,in which area of the brain are the infarcts found?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x179825CA4A0>,where are the infarcts located?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825CA530>,what organ systems can be evaluated with this image?,respiratory 	cardia c	musculoskeletal
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x179825CA5C0>,is the liver parenchyma homogenous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x179825CA650>,what side is the lesion located on?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x179825CA6E0>,where is the lesion?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x179825CA770>,is the lesion located in gray or white matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x179825CA800>,is the lesion seen in the gray or white matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x179825CA890>,are the findings normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x179825CA920>,is this image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x179825CA9B0>,how can you tell this is a t2 weighted image?,csf is white
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179825CAA40>,is this image best taken on expiration?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x179825CAAD0>,what is the best mri weighting for ring enhancing lesions?,t2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x179825CAB60>,what is seen in the occipital lobe?,ring enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x179825CABF0>,is there no evidence of any hypo- or hyperattenuations located in the liver?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x179825CAC80>,what is abnormal about the occipital lobe?,ring enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x179825CAD10>,does the r vertebral artery appear normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x179825CADA0>,is the right vertebral artery normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x179825CAE30>,what plane is this image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x179825CAEC0>,which plane is the image shown in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x179825CAF50>,where are the lesions located?,bilateral cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x179825CAFE0>,do you see fluid in the left lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x179825CB070>,is there fluid in the left lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x179825CB100>,where is the lesion located?,left parietal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x179825CB190>,which lobe is the lesion in?,left parietal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x179825CB220>,is the liver parenchyma homogenous and normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x179825CB2B0>,does the heart appear normal size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x179825CB340>,is the width of the cardiac silhouette normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x179825CB3D0>,what type of image is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x179825CB460>,what image modality is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x179825CB4F0>,what are the hyperdense findings in the mediastinum?,sternal wires
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x179825CB580>,what are seen as hyperdense in the mediastinum of this image?,sternal wires
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x179825CB610>,any evidence of epidural or subdural hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x179825CB6A0>,are there epidural or subdural bleeds as well?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x179825CB730>,is there evidence of hemorrhage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x179825CB7C0>,is the mass hemorrhagic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x179825CB850>,was this chest x ray taken in pa format?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x179825CB8E0>,what is the abnormality seen above the heart on the patient's right side?,right sided aortic arch
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x179825CB970>,what is the bump seen above the heart on the patient's right side?,right sided aortic arch
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x179825CBA00>,brain structure shown in this image?,cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x179825CBA90>,what part of the brain is seen in this image?,cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x179825CBB20>,what lobe of the brain is the lesion located in?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x179825CBBB0>,where is the brain lesion located?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x179825CBC40>,in what plane is the above taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x179825CBCD0>,is the image above oriented in the axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x179825CBD60>,is this image taken with or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x179825CBDF0>,was contrast used to take this image?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x179825CBE80>,is the stomach thickening regular and uniform or ragged/asymmetrical?,asymmetric
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x179825CBF10>,are there any bone fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x179825CBFA0>,does the patient have any bone fractures?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x17982638070>,are the patients' ribs symmetric on both sides?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x17982638100>,is there symmetry of the patient's ribs on both sides?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x17982638190>,what is the location of the mass?,sella and suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x17982638220>,where is the mass located?,sella and suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x179826382B0>,mri imaging modality used for this image?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x17982638340>,what type of mri is used to acquire this image?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x179826383D0>,"the patient's left contains a bright round organ, what is it?",left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17982638460>,what is the bright round organ seen on the patient's left?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x179826384F0>,is the stomach wall thickening symmetric or asymmetric?,asymmetric
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x17982638580>,what organ system is shown in the above image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x17982638610>,what is the organ system in this image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x179826386A0>,does this image show edema?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x17982638730>,is there edema?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x179826387C0>,what cranial nerves may be affected by the lesion seen in the above image?,oculomotor nerve (cn iii) and trigeminal nerves (cn v)
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x17982638850>,which cranial nerves are possibly affected by this lesion?,oculomotor nerve (cn iii) and trigeminal nerves (cn v)
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x179826388E0>,is this taken in the axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x17982638970>,are the colon walls thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x17982638A00>,are the walls of the colon thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x17982638A90>,what type of mri is this?,t2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x17982638B20>,is there evidence of ectopic tissue present in surrounding organs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x17982638BB0>,what is the modality of this mri?,t2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x17982638C40>,imaging modality used to take this image?,pa xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x17982638CD0>,what imaging modality is used to acquire this picture?,pa xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x17982638D60>,what mri imaging sequence is shown above?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x17982638DF0>,what type of mri is shown in the above image?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x17982638E80>,is the image an ct scan?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17982638F10>,was this image taken with or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17982638FA0>,was contrast used to take this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x17982639030>,did the patient ingest contrast prior to taking this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x179826390C0>,was contrast used in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x17982639150>,is there evidence of metastatic tissue on organs surrounding the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x179826391E0>,does the lesion above enhance?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x17982639270>,is there enhancement of the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17982639300>,is the consistency of the abscess located in the left upper quadrant homogeneous or heterogeneous?,heterogeneous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17982639390>,is the abscess in the left upper quadrant homogenous or heterogenous?,heterogeneous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x17982639420>,is there a pneumothorax seen in the above image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x179826394B0>,is there a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x17982639540>,what ventricle is the lesion compressing?,4th ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x179826395D0>,which ventricle is compressed by the lesion?,4th ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x17982639660>,is this a noncontrast ct?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x179826396F0>,where do you see a large hematoma?,right lateral ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x17982639780>,where is the abnormality?,left temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x17982639810>,are lung opacities noted?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x179826398A0>,where is the large hematoma located?,right lateral ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x17982639930>,what organ system is shown in the above image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x179826399C0>,which organ system is shown in the image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x17982639A50>,mri imaging modality used?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x17982639AE0>,what type of mri is the above image?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x17982639B70>,does the image show midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x17982639C00>,is there midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x17982639C90>,does the heart look enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x17982639D20>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x17982639DB0>,in what plane is the image above captured?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x17982639E40>,is there evidence of intraparenchymal lung nodules?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x17982639ED0>,what organ contains multiple lesions in the above image?,kidneys
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x17982639F60>,which organ has multiple lesions?,kidneys
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x17982639FF0>,is the heart larger than normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1798263A080>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x1798263A110>,how was this image taken?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x1798263A1A0>,what imaging modality is seen?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x1798263A230>,does this image show midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x1798263A2C0>,is there midline shift in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1157 at 0x1798263A350>,what organ system is being imaged?,chest
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x1798263A3E0>,how was this mri taken?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x1798263A470>,are there calcifications in the cerebral arteries?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x1798263A500>,what type of mri is this?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1798263A590>,in which lobes do you see a higher density of masses?,upper lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1798263A620>,which lobes of the lung contain a higher density of masses?,upper lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1798263A6B0>,is there mass shift pathology?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1798263A740>,is there any mass shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1798263A7D0>,in what plane is this image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1798263A860>,what imaging modality is used?,mri - t1 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1157 at 0x1798263A8F0>,is this a pa film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798263A980>,are there multiple lesions in the chest of the above patient?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798263AA10>,does this patient have multiple lesions in their chest?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x1798263AAA0>,is there evidence of calcifications in the cerebral arteries?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x1798263AB30>,the azygoesophageal recess is deviated in which direction?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x1798263ABC0>,which direction is the azygoesophageal recess deviated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x1798263AC50>,in which side is the hemidiaphragm elevated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x1798263ACE0>,which diaphragm is elevated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1798263AD70>,does the image show pericolonic fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1798263AE00>,is there pericolic fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x1798263AE90>,is this an image of the brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x1798263AF20>,is this mri with contrast or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x1798263AFB0>,was this mri taken with or without contrast?,with contrast
